FIFO                      | LRU                       |OPT                      
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
page is already in memory | page is already in memory |page is already in memory
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
add page in memory        | add page in memory        |add page in memory       
remove 45 page            | remove 45 page            |remove 211 page          
page is already in memory | page is already in memory |page is already in memory
remove 448 page           | remove 448 page           |remove 353 page          
remove 468 page           | remove 468 page           |remove 893 page          
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 11 page            | remove 11 page            |remove 652 page          
remove 694 page           | remove 694 page           |remove 239 page          
remove 206 page           | remove 206 page           |remove 794 page          
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 856 page           | remove 856 page           |remove 729 page          
remove 340 page           | remove 340 page           |remove 818 page          
remove 59 page            | remove 59 page            |remove 598 page          
remove 817 page           | remove 718 page           |remove 999 page          
remove 718 page           | remove 603 page           |remove 423 page          
remove 603 page           | remove 16 page            |remove 822 page          
remove 909 page           | remove 530 page           |remove 156 page          
remove 16 page            | remove 353 page           |remove 340 page          
page is already in memory | page is already in memory |page is already in memory
remove 771 page           | remove 43 page            |remove 841 page          
page is already in memory | page is already in memory |page is already in memory
remove 530 page           | remove 337 page           |remove 170 page          
remove 110 page           | remove 407 page           |remove 683 page          
page is already in memory | page is already in memory |page is already in memory
remove 353 page           | remove 144 page           |remove 169 page          
page is already in memory | page is already in memory |page is already in memory
remove 105 page           | remove 431 page           |remove 200 page          
page is already in memory | page is already in memory |page is already in memory
remove 43 page            | remove 304 page           |remove 845 page          
remove 893 page           | remove 254 page           |remove 623 page          
remove 337 page           | remove 487 page           |remove 84 page           
remove 407 page           | remove 924 page           |remove 292 page          
page is already in memory | page is already in memory |page is already in memory
remove 94 page            | remove 315 page           |remove 120 page          
remove 144 page           | page is already in memory |page is already in memory
remove 647 page           | remove 954 page           |remove 16 page           
remove 431 page           | remove 896 page           |remove 645 page          
remove 304 page           | remove 392 page           |remove 617 page          
remove 254 page           | remove 567 page           |remove 148 page          
page is already in memory | page is already in memory |page is already in memory
remove 487 page           | remove 917 page           |remove 655 page          
remove 924 page           | remove 799 page           |remove 863 page          
remove 315 page           | remove 189 page           |remove 270 page          
remove 954 page           | remove 516 page           |remove 938 page          
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 896 page           | remove 925 page           |remove 168 page          
page is already in memory | page is already in memory |page is already in memory
remove 392 page           | remove 584 page           |remove 975 page          
remove 760 page           | remove 704 page           |remove 439 page          
remove 567 page           | remove 800 page           |remove 264 page          
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 917 page           | remove 453 page           |remove 345 page          
remove 799 page           | remove 734 page           |remove 391 page          
remove 189 page           | remove 796 page           |remove 189 page          
remove 398 page           | remove 937 page           |remove 918 page          
remove 516 page           | remove 224 page           |remove 428 page          
remove 925 page           | remove 323 page           |remove 585 page          
remove 950 page           | remove 279 page           |remove 896 page          
remove 584 page           | remove 440 page           |remove 745 page          
page is already in memory | page is already in memory |page is already in memory
remove 704 page           | remove 313 page           |remove 783 page          
remove 800 page           | remove 471 page           |remove 48 page           
remove 453 page           | remove 253 page           |remove 685 page          
remove 860 page           | remove 824 page           |remove 485 page          
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 734 page           | remove 697 page           |remove 629 page          
remove 796 page           | remove 452 page           |remove 408 page          
remove 937 page           | remove 677 page           |remove 176 page          
remove 224 page           | remove 520 page           |remove 703 page          
page is already in memory | page is already in memory |page is already in memory
remove 473 page           | remove 878 page           |remove 348 page          
remove 323 page           | remove 231 page           |remove 553 page          
remove 279 page           | remove 398 page           |remove 13 page           
remove 440 page           | remove 904 page           |remove 674 page          
remove 86 page            | remove 411 page           |remove 19 page           
page is already in memory | page is already in memory |page is already in memory
remove 313 page           | remove 210 page           |remove 58 page           
remove 947 page           | remove 259 page           |remove 86 page           
remove 591 page           | remove 793 page           |remove 59 page           
page is already in memory | page is already in memory |page is already in memory
remove 471 page           | remove 425 page           |remove 486 page          
remove 88 page            | remove 95 page            |remove 117 page          
remove 253 page           | remove 94 page            |remove 407 page          
page is already in memory | page is already in memory |page is already in memory
remove 824 page           | remove 143 page           |remove 678 page          
remove 585 page           | remove 655 page           |remove 971 page          
remove 697 page           | remove 787 page           |remove 30 page           
remove 236 page           | remove 167 page           |remove 262 page          
remove 539 page           | remove 916 page           |remove 164 page          
remove 452 page           | remove 979 page           |remove 450 page          
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 677 page           | remove 912 page           |remove 440 page          
remove 36 page            | remove 327 page           |remove 358 page          
page is already in memory | page is already in memory |page is already in memory
remove 520 page           | remove 332 page           |remove 672 page          
remove 878 page           | remove 429 page           |remove 115 page          
remove 231 page           | remove 651 page           |remove 95 page           
page is already in memory | page is already in memory |page is already in memory
remove 230 page           | remove 713 page           |remove 28 page           
remove 197 page           | remove 86 page            |remove 865 page          
remove 802 page           | remove 433 page           |remove 54 page           
page is already in memory | page is already in memory |page is already in memory
remove 611 page           | remove 872 page           |remove 110 page          
remove 72 page            | remove 950 page           |remove 275 page          
remove 904 page           | remove 36 page            |remove 10 page           
remove 209 page           | remove 751 page           |remove 801 page          
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 345 page           | remove 565 page           |remove 600 page          
remove 411 page           | remove 678 page           |page is already in memory
remove 214 page           | page is already in memory |page is already in memory
remove 490 page           | remove 729 page           |page is already in memory
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 210 page           | remove 703 page           |remove 1000 page         
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 259 page           | remove 740 page           |remove 802 page          
remove 793 page           | remove 292 page           |remove 704 page          
remove 425 page           | remove 894 page           |remove 919 page          
remove 95 page            | remove 209 page           |remove 310 page          
page is already in memory | page is already in memory |page is already in memory
remove 774 page           | remove 465 page           |page is already in memory
remove 794 page           | remove 929 page           |remove 484 page          
remove 143 page           | remove 745 page           |remove 235 page          
remove 655 page           | remove 529 page           |remove 93 page           
remove 787 page           | remove 211 page           |remove 697 page          
remove 167 page           | remove 115 page           |remove 533 page          
page is already in memory | page is already in memory |page is already in memory
remove 951 page           | remove 574 page           |remove 132 page          
remove 180 page           | remove 102 page           |remove 44 page           
remove 916 page           | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 979 page           | remove 477 page           |remove 649 page          
remove 912 page           | remove 814 page           |remove 742 page          
remove 250 page           | remove 507 page           |remove 796 page          
remove 327 page           | remove 459 page           |remove 932 page          
remove 275 page           | remove 277 page           |page is already in memory
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 332 page           | remove 467 page           |remove 954 page          
remove 429 page           | remove 909 page           |remove 833 page          
page is already in memory | page is already in memory |page is already in memory
remove 651 page           | remove 818 page           |remove 804 page          
remove 713 page           | remove 78 page            |remove 502 page          
remove 433 page           | remove 927 page           |remove 382 page          
remove 872 page           | remove 935 page           |remove 807 page          
page is already in memory | page is already in memory |page is already in memory
remove 751 page           | remove 730 page           |remove 778 page          
remove 439 page           | page is already in memory |page is already in memory
remove 565 page           | remove 618 page           |remove 643 page          
remove 678 page           | remove 804 page           |remove 826 page          
page is already in memory | page is already in memory |page is already in memory
remove 729 page           | remove 169 page           |remove 775 page          
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 703 page           | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 848 page           | remove 946 page           |remove 401 page          
remove 740 page           | remove 270 page           |remove 981 page          
remove 292 page           | remove 110 page           |remove 268 page          
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 935 page           | remove 794 page           |remove 834 page          
remove 894 page           | remove 664 page           |remove 716 page          
remove 360 page           | remove 685 page           |remove 417 page          
page is already in memory | page is already in memory |page is already in memory
remove 247 page           | remove 893 page           |remove 917 page          
remove 465 page           | remove 458 page           |remove 17 page           
remove 929 page           | remove 176 page           |remove 909 page          
page is already in memory | remove 98 page            |page is already in memory
remove 745 page           | remove 858 page           |remove 537 page          
remove 529 page           | remove 975 page           |remove 734 page          
remove 211 page           | remove 711 page           |remove 234 page          
page is already in memory | page is already in memory |page is already in memory
remove 18 page            | remove 845 page           |page is already in memory
remove 115 page           | remove 949 page           |remove 520 page          
remove 118 page           | remove 30 page            |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 574 page           | remove 790 page           |page is already in memory
page is already in memory | page is already in memory |page is already in memory
page is already in memory | page is already in memory |page is already in memory
remove 102 page           | remove 600 page           |remove 463 page          
remove 503 page           | remove 26 page            |remove 824 page          
remove 477 page           | remove 48 page            |remove 566 page          
page is already in memory | page is already in memory |page is already in memory
remove 7 page             | remove 652 page           |remove 356 page          
remove 814 page           | remove 539 page           |remove 154 page          
page is already in memory | page is already in memory |page is already in memory
remove 507 page           | remove 212 page           |remove 459 page          
remove 291 page           | remove 183 page           |remove 26 page           
remove 459 page           | page is already in memory |page is already in memory
